Plot,Location,Env,Rep,Block,Genotype,Planting_date,DTF,DTM,PH,LPH
1268,WPR_2022,1,1,7,PI431640,2/1/2022,80,114,24,15.3
1269,WPR_2022,1,1,8,PI435954,2/1/2022,77,115,30.7,12.3
1271,WPR_2022,1,1,8,PI420818,2/1/2022,82,116,27,17
1272,WPR_2022,1,1,8,PI431714,2/1/2022,80,116,25.3,8.7
1273,WPR_2022,1,1,8,PI297285,2/1/2022,82,115,29,14
1274,WPR_2022,1,1,8,PI472372,2/1/2022,77,101,27.3,6
1275,WPR_2022,1,1,8,PI533693,2/1/2022,80,110,30.7,15
1276,WPR_2022,1,1,8,ILL1924,2/1/2022,80,114,31.7,17.7
1278,WPR_2022,1,1,7,PI472452,2/1/2022,77,101,25.3,4.8
1279,WPR_2022,1,1,7,PI472205,2/1/2022,77,101,29.3,4.7
1280,WPR_2022,1,1,7,ILL341,2/1/2022,85,116,29.7,15.3
1282,WPR_2022,1,1,6,PI432001,2/1/2022,85,116,28.7,15.3
1283,WPR_2022,1,1,6,PI431873,2/1/2022,91,115,31.3,15.7
1284,WPR_2022,1,1,6,PI472339,2/1/2022,77,103,22.7,4.3
1285,WPR_2022,1,1,5,PI297287,2/1/2022,80,110,33,14.3
1286,WPR_2022,1,1,5,PI426784,2/1/2022,77,101,28,4.2
1287,WPR_2022,1,1,5,PI426803,2/1/2022,77,101,26.7,6.8
1288,WPR_2022,1,1,5,PI283604,2/1/2022,82,115,27.7,18
1289,WPR_2022,1,1,5,PI431753,2/1/2022,82,115,23.7,9
1290,WPR_2022,1,1,5,ILL324,2/1/2022,87,123,32.7,13
1291,WPR_2022,1,1,5,PI329167,2/1/2022,82,115,35,17
1292,WPR_2022,1,1,5,PI432286,2/1/2022,85,113,26.3,10.3
1293,WPR_2022,1,1,6,ILL537,2/1/2022,82,113,30.3,15.7
1294,WPR_2022,1,1,6,PI472588,2/1/2022,82,115,23.3,7.7
1295,WPR_2022,1,1,6,PI299163,2/1/2022,91,122,28.7,20.7
1296,WPR_2022,1,1,6,PI431679,2/1/2022,91,121,25,15
1297,WPR_2022,1,1,7,PI320935,2/1/2022,82,117,29.7,14.3
1298,WPR_2022,1,1,7,ILL610,2/1/2022,91,116,30.7,17
1299,WPR_2022,1,1,7,PI472561,2/1/2022,77,100,27.3,5.2
1300,WPR_2022,1,1,7,PI472126,2/1/2022,77,101,25.7,3.7
1301,WPR_2022,1,1,8,PI374120,2/1/2022,80,109,28,10.9
1302,WPR_2022,1,1,8,PI250156,2/1/2022,77,110,23.7,5.3
1303,WPR_2022,1,1,8,PI299366,2/1/2022,87,122,29,15.3
1304,WPR_2022,1,1,8,PI431780,2/1/2022,77,110,27.3,9.7
1305,WPR_2022,1,1,8,PI299121,2/1/2022,77,118,27.3,9.3
1306,WPR_2022,1,1,8,PI181886,2/1/2022,85,115,29.3,15.3
1307,WPR_2022,1,1,8,PI431705,2/1/2022,85,109,25.3,11.5
1308,WPR_2022,1,1,8,PI299215,2/1/2022,82,115,27.3,11.7
1310,WPR_2022,1,1,7,PI458503,2/1/2022,80,119,29.3,11.3
1311,WPR_2022,1,1,7,PI312175,2/1/2022,77,110,28.3,9.8
1312,WPR_2022,1,1,7,PI217949,2/1/2022,77,108,26.3,6.7
1313,WPR_2022,1,1,6,PI289066,2/1/2022,87,117,23.3,9
1314,WPR_2022,1,1,6,PI431923,2/1/2022,91,115,30.3,16
1315,WPR_2022,1,1,6,PI472194,2/1/2022,91,99,18.7,3
1316,WPR_2022,1,1,6,PI472416,2/1/2022,77,108,25.7,6.7
1317,WPR_2022,1,1,5,PI577168,2/1/2022,77,113,27,12.3
1318,WPR_2022,1,1,5,PI431666,2/1/2022,78,113,29,12.3
1319,WPR_2022,1,1,5,PI320954,2/1/2022,80,115,28,13.3
1320,WPR_2022,1,1,5,W627762,2/1/2022,77,104,27.3,7.8
2001,WPR_2022,1,2,9,PI426803,2/1/2022,,119,20,5.9
2002,WPR_2022,1,2,9,PI533690,2/1/2022,,116,26.3,16.3
2003,WPR_2022,1,2,9,PI518731,2/1/2022,,113,28,13
2004,WPR_2022,1,2,9,PI431714,2/1/2022,,113,21.7,8.7
2005,WPR_2022,1,2,10,PI432005,2/1/2022,,106,31.7,15
2006,WPR_2022,1,2,10,PI472632,2/1/2022,,116,24.7,11.7
2007,WPR_2022,1,2,10,PI432087,2/1/2022,,113,24,7.3
2008,WPR_2022,1,2,10,PI431642,2/1/2022,,113,28,9.3
2009,WPR_2022,1,2,11,ILL1922,2/1/2022,,113,26.3,15
2010,WPR_2022,1,2,11,PI431631,2/1/2022,,108,32.3,
2011,WPR_2022,1,2,11,PI432201,2/1/2022,,113,30.7,14.7
2012,WPR_2022,1,2,11,PI374120,2/1/2022,,113,29,14.3
2013,WPR_2022,1,2,12,PI238758,2/1/2022,,116,30,16
2014,WPR_2022,1,2,12,PI432236,2/1/2022,,113,24,9.8
2015,WPR_2022,1,2,12,PI472213,2/1/2022,,104,21,7.8
2016,WPR_2022,1,2,12,ILL151,2/1/2022,,115,21,7
2018,WPR_2022,1,2,12,W627762,2/1/2022,,104,26.3,6
2019,WPR_2022,1,2,12,PI472615,2/1/2022,,104,27,8
2020,WPR_2022,1,2,12,PI420929,2/1/2022,,104,23.3,9
2021,WPR_2022,1,2,11,PI472274,2/1/2022,,104,21.3,3.5
2022,WPR_2022,1,2,11,PI374121,2/1/2022,,104,25,10.7
2023,WPR_2022,1,2,11,W627780,2/1/2022,,104,24.3,3.7
2024,WPR_2022,1,2,11,ILL324,2/1/2022,,113,34,15.3
